product_name,craft_category,craft_type,primary_material,crafting_time,size_complexity,artisan_region,utility_type,target_demographic,actual_price,price_range,source_url
Handcrafted Dokra Brass Necklace,Jewellery & Accessories,Dhokra Casting,Pure Brass,Unknown,Unknown,Chhattisgarh,Wearable Fashion,Unknown,387,,https://www.tribesindia.com/product/handcrafted-dokra-brass-necklace
Handcrafted Dokra Brass Bracelet,Jewellery & Accessories,Dhokra Casting,Pure Brass,Unknown,Unknown,Chhattisgarh,Wearable Fashion,Unknown,118.80,,https://www.tribesindia.com/product/handcrafted-dokra-brass-bracelet
Tribes India Two Line Ghungru Necklace,Jewellery & Accessories,Metalwork Jewelry,Brass & Bell Metal,Unknown,Unknown,Rajasthan,Wearable Fashion,Unknown,1320,,https://www.tribesindia.com/product/two-line-ghungru-necklace
German Silver Necklace with Half Cut Locket,Jewellery & Accessories,Tribal Silver Craft,German Silver,Unknown,Unknown,Rajasthan,Wearable Fashion,Unknown,330,,https://www.tribesindia.com/product/german-silver-necklace-half-cut-locket
Tribal Metal Lapis Lazuli Necklace,Jewellery & Accessories,Tribal Jewelry,Metal & Lapis Lazuli,Unknown,Unknown,Himachal Pradesh,Wearable Fashion,Unknown,363,,https://www.tribesindia.com/product/necklace-metal-lapis
Hand-painted Pattachitra on Tassar Silk,Folk Painting & Tribal Art,Pattachitra Painting,Tussar Silk,Unknown,Unknown,Odisha,Home Decor / Exhibition,Unknown,3061.80,,https://www.tribesindia.com/product/hand-painted-pattachitra-tassar-silk
Bidriware Lattu Vase Phool Jadi Design,Metalwork & Brassware,Bidriware Silver Inlay,Zinc Copper Alloy & Silver,Unknown,Unknown,Karnataka,Home Decor / Exhibition,Unknown,3850,,https://www.tribesindia.com/product/bidriware-lattu-vase-phool-jadi
Bidriware Elephant Pair Small,Metalwork & Brassware,Bidriware Silver Inlay,Zinc Copper Alloy & Silver,Unknown,Small/Miniature,Karnataka,Home Decor / Exhibition,Unknown,2310,,https://www.tribesindia.com/product/bidriware-elephant-pair
Bidriware Decorative Bowl,Metalwork & Brassware,Bidriware Silver Inlay,Zinc Copper Alloy & Silver,Unknown,Medium/Standard,Karnataka,Home Decor / Exhibition,Unknown,4701,,https://www.tribesindia.com/product/bidriware-bowl
Bidriware Suray Vase,Metalwork & Brassware,Bidriware Silver Inlay,Zinc Copper Alloy & Silver,Unknown,Large/Display,Karnataka,Home Decor / Exhibition,Unknown,80465,,https://www.tribesindia.com/product/bidriware-suray-vase
Bidriware Star Pattern Elephant Statue,Metalwork & Brassware,Bidriware Silver Inlay,Zinc Copper Alloy & Silver,Unknown,Medium/Standard,Karnataka,Home Decor / Exhibition,Unknown,24200,,https://www.tribesindia.com/product/bidriware-elephant-star-pattern
Handcrafted Pure Copper Bracelet,Jewellery & Accessories,Copper Metalwork,Copper,Unknown,Unknown,Gujarat,Wearable Fashion,Unknown,176,,https://www.tribesindia.com/product/handcrafted-pure-copper-bracelet
