product_id,product_name,product_name_hindi,primary_category,secondary_category,tertiary_category,product_type,price_range,target_demographic,seasonal_relevance,primary_keywords,related_categories,purchase_frequency
364D05EC,Himalaya Purifying Neem Face Wash (200ml),Himalaya Purifying Neem Face Wash (200ml) (Hindi),Personal Care,Skincare,Face Wash,Face Wash,Budget,15-40 All Genders,Year-round,"face wash, himalaya, 200ml, budget, 15-40, skincare, personal care","Makeup & Cosmetics, Bath & Body",Monthly
4DB3C75F,"Adidas Men's Running Shoes (Adiray 1.0, Grey)","Adidas Men's Running Shoes (Adiray 1.0, Grey) (Hindi)",Sports & Fitness,Apparel,Men's,Men's,Premium,18-35 Male,Year-round,"18-35, men's, running, premium, adidas, apparel, sports & fitness","Equipment, Women's",Occasionally
1C8468B0,Himalaya Purifying Neem Face Wash (150ml),हिमालय प्यूरीफाइंग नीम फेस वॉश (150 मिली),Personal Care,Skincare,Face Wash,Face Wash,Mid-range,15-40 All Genders,Year-round,"face wash, mid-range, himalaya, skincare, 15-40, personal care, 150ml","Makeup & Cosmetics, Haircare",Monthly
EBC725CD,"HP 15s Laptop (Ryzen 5, 8GB RAM, 512GB Storage, Blue)","HP 15s Laptop (Ryzen 5, 8GB RAM, 512GB Storage, Blue) (Hindi)",Electronics,Computers & Laptops,Laptops,Laptops,Premium,18-35 Male,Year-round,"512gb storage, hp, blue, laptops, computers & laptops, premium, 18-35, 8gb ram","Peripherals, Mobiles & Accessories",Occasionally
1279A8E3,"Levi's Men's 511 Slim Fit Jeans (Blue, M)","Levi's Men's 511 Slim Fit Jeans (Blue, M) (Hindi)",Clothing & Apparel,Men's Wear,Western,Western,Premium,18-35 Male,Year-round,"men's wear, m, clothing & apparel, blue, western, levi's, premium, 18-35","Ethnic, Accessories",Occasionally
6B1C4848,"LG 6.5 Kg Top Load Washing Machine (Smart Inverter, Middle Free Silver)","एलजी 6.5 किलो टॉप लोड वॉशिंग मशीन (स्मार्ट इन्वर्टर, मिडिल फ्री सिल्वर)",Electronics,Home Appliances,Large Appliances,Large Appliances,Budget,25-50 All Genders,Year-round,"large appliances, lg, home appliances, budget, electronics, 25-50","Small Appliances, Computers & Laptops",Occasionally
47A779DD,boAt Airdopes 141 True Wireless Earbuds (Blue),boAt Airdopes 141 True Wireless Earbuds (Blue) (Hindi),Electronics,Mobiles & Accessories,Accessories,Accessories,Budget,15-40 All Genders,Year-round,"accessories, budget, boat, blue, 15-40, mobiles & accessories, electronics","Smartphones, Computers & Laptops",Occasionally
DDB26763,Maggi 2-Minute Instant Noodles Masala (Pack of 12),"मैगी 2-मिनट इंस्टेंट नूडल्स मसाला (70 ग्राम, 12 का पैक)",Food & Grocery,Packaged Foods,Noodles & Pasta,Noodles & Pasta,Budget,All Ages,Year-round,"noodles & pasta, pack of 12, maggi, budget, packaged foods, food & grocery, all ages","Biscuits & Cookies, Ready To Eat",Weekly
D7EE8CD1,Aashirvaad Select Sharbati Atta (5kg Pack),आशीर्वाद सेलेक्ट शरबती आटा (5 किलो पैक),Food & Grocery,Staples,Grains & Flour,Grains & Flour,Budget,All Ages,Year-round,"grains & flour, staples, aashirvaad, budget, 5kg pack, food & grocery, all ages","Oils & Ghee, Spices & Masalas",Weekly
F4DE4752,Aashirvaad Select Sharbati Atta (1kg),Aashirvaad Select Sharbati Atta (1kg) (Hindi),Food & Grocery,Staples,Grains & Flour,Grains & Flour,Premium,All Ages,Year-round,"staples, grains & flour, aashirvaad, food & grocery, all ages, premium, 1kg","Oils & Ghee, Spices & Masalas",Weekly
4B4A683A,Patanjali Divya Chyawanprash (1kg),पतंजलि दिव्य च्यवनप्राश (1 किलो),Personal Care,Wellness,Supplements & Ayurvedic,Supplements & Ayurvedic,Mid-range,All Ages,Winter,"patanjali, wellness, supplements & ayurvedic, mid-range, personal care, 1kg, all ages","Feminine Hygiene, Makeup & Cosmetics",Occasionally
735C2277,"Milton Aqua 1000 Stainless Steel Water Bottle (1 Litre, Silver)","मिल्टन एक्वा 1000 स्टेनलेस स्टील पानी की बोतल (1 लीटर, सिल्वर)",Home & Kitchen,Kitchen Appliances,Other,Other,Mid-range,All Ages,Year-round,"other, milton, mid-range, kitchen appliances, home & kitchen, all ages","Mixer Grinders, Cookware",Occasionally
280F66DA,Funskool Giggles Stacking Drums,फनस्कूल गिगल्स स्टैकिंग ड्रम्स,Toys & Baby Products,Toys,Creative & Learning,Creative & Learning,Budget,0-3 Years Infants,Year-round,"toys, creative & learning, budget, funskool, 0-3, toys & baby products","Action & Play, Baby Care",Occasionally
BD9E837D,Himalaya Purifying Neem Face Wash (100ml),Himalaya Purifying Neem Face Wash (100ml) (Hindi),Personal Care,Skincare,Face Wash,Face Wash,Mid-range,15-40 All Genders,Year-round,"face wash, mid-range, himalaya, skincare, 100ml, 15-40, personal care","Haircare, Bath & Body",Monthly
6582D6C4,"Maybelline New York Colossal Kajal (Black, 0.35g)","मेबेलिन न्यूयॉर्क कोलोसल काजल (काला, 0.35 ग्राम)",Personal Care,Makeup & Cosmetics,Eye Makeup,Eye Makeup,Mid-range,16-40 Female,Year-round,"makeup & cosmetics, maybelline, eye makeup, mid-range, personal care, 16-40","Lip Makeup, Wellness",Occasionally
1E40FC16,Mamaearth Ubtan Face Wash with Turmeric & Saffron (100ml),मामाअर्थ उबटन फेस वॉश हल्दी और केसर के साथ (100 मिली),Personal Care,Skincare,Face Wash,Face Wash,Premium,15-40 All Genders,Year-round,"face wash, mamaearth, skincare, premium, 100ml, 15-40, personal care","Haircare, Bath & Body",Monthly
B60755CA,"Amazon Brand - Solimo XXXL Bean Bag Cover (Without Beans, Brown)","अमेज़न ब्रांड - सोलिमो XXXL बीन बैग कवर (बीन्स के बिना, ब्राउन)",Home & Kitchen,Furniture,Small Furniture,Small Furniture,Mid-range,All Ages,Year-round,"bean, amazon, small furniture, bag, mid-range, furniture, home & kitchen, all ages","Chairs, Home Decor",Occasionally
46233F42,Rich Dad Poor Dad by Robert T. Kiyosaki,रॉबर्ट टी. कियोसाकी द्वारा रिच डैड पुअर डैड,Books & Stationery,Fiction & Non-Fiction,Popular Titles,Popular Titles,Budget,25-50 All Genders,Year-round,"fiction & non-fiction, popular titles, rich, budget, 25-50, books & stationery, dad","Indian Authors, Educational",Occasionally
DB3F70C5,Mee Mee Mild Baby Liquid Laundry Detergent (1.5 Litre),मी मी माइल्ड बेबी लिक्विड लॉन्ड्री डिटर्जेंट (1.5 लीटर),Toys & Baby Products,Feeding & Nursing,Bottles & Sterilizers,Bottles & Sterilizers,Budget,0-3 Years Infants,Year-round,"feeding & nursing, mee, 0-3, toys & baby products, budget, bottles & sterilizers","Utensils, Baby Gear & Safety",Occasionally
13980B58,Dove Intense Repair Shampoo (650ml),डव इंटेंस रिपेयर शैम्पू (650 मिली),Personal Care,Haircare,Shampoo,Shampoo,Mid-range,15-40 All Genders,Year-round,"shampoo, mid-range, haircare, dove, 650ml, 15-40, personal care","Conditioner & Oil, Skincare",Monthly
BDE03FDC,Amrutanjan Pain Balm Extra Power (50ml),अमृतांजन पेन बाम एक्स्ट्रा पावर (50 मिली),Personal Care,Wellness,Supplements & Ayurvedic,Supplements & Ayurvedic,Budget,50+ Seniors,Year-round,"supplements & ayurvedic, amrutanjan, wellness, budget, personal care, 50+, 50ml","Feminine Hygiene, Bath & Body",Occasionally
36F17FBC,"Cello Checkers Plastic PET Canister Set (18 Pieces, Clear)","सेलो चेकर्स प्लास्टिक पीईटी कनस्तर सेट (18 पीस, क्लियर)",Home & Kitchen,Storage & Organization,Kitchen Storage,Kitchen Storage,Mid-range,All Ages,Year-round,"kitchen storage, cello, mid-range, 18 pieces, home & kitchen, all ages, storage & organization","Home Storage, Cookware",Occasionally
93B6F5B9,"Philips Daily Collection Mixer Grinder (750W, 3 Jars, White/Purple)","फिलिप्स डेली कलेक्शन मिक्सर ग्राइंडर (750W, 3 जार, सफेद/बैंगनी)",Home & Kitchen,Kitchen Appliances,Mixer Grinders,Mixer Grinders,Budget,All Ages,Year-round,"mixer grinders, philips, home & kitchen, budget, kitchen appliances, all ages","Other, Home Decor",Occasionally
